zip,city,state,county,population
02739,Mattapoisett,MA,Plymouth County,6530
02740,New Bedford,MA,Bristol County,34140
02743,Acushnet,MA,Bristol County,9660
02744,New Bedford,MA,Bristol County,9930
02745,New Bedford,MA,Bristol County,21400
02746,New Bedford,MA,Bristol County,12910
02747,North Dartmouth,MA,Bristol County,17200
02748,South Dartmouth,MA,Bristol County,10640
02760,North Attleboro,MA,Bristol County,26020
02762,Plainville,MA,Norfolk County,8810
02763,Attleboro Falls,MA,Bristol County,2050
02764,North Dighton,MA,Bristol County,4010
02766,Norton,MA,Bristol County,16260
02767,Raynham,MA,Bristol County,14600
02769,Rehoboth,MA,Bristol County,12410
02770,Rochester,MA,Plymouth County,5650
02771,Seekonk,MA,Bristol County,15050
02777,Swansea,MA,Bristol County,15910
02779,Berkley,MA,Bristol County,6530
02780,Taunton,MA,Bristol County,45890
02790,Westport,MA,Bristol County,15510
02804,Ashaway,RI,Washington County,2620
02806,Barrington,RI,Bristol County,17140
02808,Bradford,RI,Washington County,2040
02809,Bristol,RI,Bristol County,16990
02812,Carolina,RI,Washington County,1330
02813,Charlestown,RI,Washington County,7500
02814,Chepachet,RI,Providence County,7300
02815,Clayville,RI,Providence County,250
02816,Coventry,RI,Kent County,30000
02817,West Greenwich,RI,Kent County,6240
02818,East Greenwich,RI,Kent County,18530
02822,Exeter,RI,Washington County,5740
02825,Foster,RI,Providence County,5220
02827,Greene,RI,Kent County,2200
02828,Greenville,RI,Providence County,6760
02830,Harrisville,RI,Providence County,5950
02831,Hope,RI,Providence County,4050
02832,Hope Valley,RI,Washington County,4450
02833,Hopkinton,RI,Washington County,540
02835,Jamestown,RI,Newport County,5210
02836,Kenyon,RI,Washington County,91
02837,Little Compton,RI,Newport County,3120
02838,Manville,RI,Providence County,3160
02839,Mapleville,RI,Providence County,1680
02840,Newport,RI,Newport County,16680
02841,Newport,RI,Newport County,353
02842,Middletown,RI,Newport County,14290
02852,North Kingstown,RI,Washington County,22250
02857,North Scituate,RI,Providence County,8080
02858,Oakland,RI,Providence County,560
02859,Pascoag,RI,Providence County,5930
02860,Pawtucket,RI,Providence County,38330
02861,Pawtucket,RI,Providence County,24220
02863,Central Falls,RI,Providence County,16280
02864,Cumberland,RI,Providence County,34210
02865,Lincoln,RI,Providence County,17360
02871,Portsmouth,RI,Newport County,16410
02874,Saunderstown,RI,Washington County,5940
02875,Shannock,RI,Washington County,380
02876,Slatersville,RI,Providence County,970
02877,Slocum,RI,Washington County,106
02878,Tiverton,RI,Newport County,14560
02879,Wakefield,RI,Washington County,18620
02881,Kingston,RI,Washington County,1890
02882,Narragansett,RI,Washington County,9850
02885,Warren,RI,Bristol County,9750
02886,Warwick,RI,Kent County,25910
02888,Warwick,RI,Kent County,17750
02889,Warwick,RI,Kent County,25350
02891,Westerly,RI,Washington County,19090
02892,West Kingston,RI,Washington County,5130
02893,West Warwick,RI,Kent County,26320
02894,Wood River Junction,RI,Washington County,790
02895,Woonsocket,RI,Providence County,33780
02896,North Smithfield,RI,Providence County,10020
02898,Wyoming,RI,Washington County,2040
02903,Providence,RI,Providence County,6540
02904,Providence,RI,Providence County,26030
02905,Providence,RI,Providence County,22150
02906,Providence,RI,Providence County,19430
02907,Providence,RI,Providence County,25690
02908,Providence,RI,Providence County,31540
02909,Providence,RI,Providence County,38890
02910,Cranston,RI,Providence County,20120
02911,North Providence,RI,Providence County,13680
02914,East Providence,RI,Providence County,18260
02915,Riverside,RI,Providence County,14620
02916,Rumford,RI,Providence County,7540
02917,Smithfield,RI,Providence County,11190
02919,Johnston,RI,Providence County,27400
02920,Cranston,RI,Providence County,32000
02921,Cranston,RI,Providence County,12070
03031,Amherst,NH,Hillsborough County,11950
03032,Auburn,NH,Rockingham County,6110
03033,Brookline,NH,Hillsborough County,5810
03034,Candia,NH,Rockingham County,4110
03036,Chester,NH,Rockingham County,5190
03037,Deerfield,NH,Rockingham County,4610
03038,Derry,NH,Rockingham County,31070
03042,Epping,NH,Rockingham County,6960
03043,Francestown,NH,Hillsborough County,1550
03044,Fremont,NH,Rockingham County,4600
03045,Goffstown,NH,Hillsborough County,13000
03046,Dunbarton,NH,Merrimack County,3110
03047,Greenfield,NH,Hillsborough County,1600
03048,Greenville,NH,Hillsborough County,3000
03049,Hollis,NH,Hillsborough County,8740
03051,Hudson,NH,Hillsborough County,24240
03052,Litchfield,NH,Hillsborough County,8450
03053,Londonderry,NH,Rockingham County,25550
03054,Merrimack,NH,Hillsborough County,27050
03055,Milford,NH,Hillsborough County,14960
03057,Mont Vernon,NH,Hillsborough County,2720
03060,Nashua,NH,Hillsborough County,24810
03062,Nashua,NH,Hillsborough County,26930
03063,Nashua,NH,Hillsborough County,14690
03064,Nashua,NH,Hillsborough County,13420
03070,New Boston,NH,Hillsborough County,6060
03071,New Ipswich,NH,Hillsborough County,5250
03076,Pelham,NH,Hillsborough County,13970
03077,Raymond,NH,Rockingham County,9940
03079,Salem,NH,Rockingham County,28710
03082,Lyndeborough,NH,Hillsborough County,1490
03084,Temple,NH,Hillsborough County,1300
03086,Wilton,NH,Hillsborough County,3840
03087,Windham,NH,Rockingham County,16050
03101,Manchester,NH,Hillsborough County,2730
03102,Manchester,NH,Hillsborough County,26510
03103,Manchester,NH,Hillsborough County,31540
03104,Manchester,NH,Hillsborough County,27860
03106,Hooksett,NH,Merrimack County,13960
03109,Manchester,NH,Hillsborough County,10320
03110,Bedford,NH,Hillsborough County,22880
03216,Andover,NH,Merrimack County,2080
03217,Ashland,NH,Grafton County,1910
03218,Barnstead,NH,Belknap County,1130
03220,Belmont,NH,Belknap County,6570
03221,Bradford,NH,Merrimack County,2070
03222,Bristol,NH,Grafton County,5250
03223,Campton,NH,Grafton County,3770
03224,Canterbury,NH,Merrimack County,2420
03225,Center Barnstead,NH,Belknap County,3630
03226,Center Harbor,NH,Belknap County,1780
03227,Center Sandwich,NH,Carroll County,1030
03229,Contoocook,NH,Merrimack County,5950
03230,Danbury,NH,Merrimack County,1190
03233,Elkins,NH,Merrimack County,340
03234,Epsom,NH,Merrimack County,4600
03235,Franklin,NH,Merrimack County,7350
03237,Gilmanton,NH,Belknap County,2520
03240,Grafton,NH,Grafton County,1160
03241,Hebron,NH,Grafton County,900
03242,Henniker,NH,Merrimack County,3890
03243,Hill,NH,Merrimack County,940
03244,Hillsborough,NH,Hillsborough County,7280
03245,Holderness,NH,Grafton County,1860
03246,Laconia,NH,Belknap County,14170
03249,Gilford,NH,Belknap County,6960
03251,Lincoln,NH,Grafton County,1470
03253,Meredith,NH,Belknap County,6210
03254,Moultonborough,NH,Carroll County,4410
03255,Newbury,NH,Merrimack County,2090
03256,New Hampton,NH,Belknap County,2260
03257,New London,NH,Merrimack County,4160
03258,Chichester,NH,Merrimack County,2650
03259,North Sandwich,NH,Carroll County,280
03261,Northwood,NH,Rockingham County,4350
03262,North Woodstock,NH,Grafton County,1170
03263,Pittsfield,NH,Merrimack County,3670
03264,Plymouth,NH,Grafton County,4380
03266,Rumney,NH,Grafton County,1900
03268,Salisbury,NH,Merrimack County,1260
03269,Sanbornton,NH,Belknap County,2890
03275,Suncook,NH,Merrimack County,11060
03276,Tilton,NH,Merrimack County,7520
03278,Warner,NH,Merrimack County,2910
03279,Warren,NH,Grafton County,610
03280,Washington,NH,Sullivan County,1210
03281,Weare,NH,Hillsborough County,8750
03282,Wentworth,NH,Grafton County,900
03284,Springfield,NH,Sullivan County,850
03285,Thornton,NH,Grafton County,1680
03287,Wilmot,NH,Merrimack County,1400
03290,Nottingham,NH,Rockingham County,5060
03291,West Nottingham,NH,Rockingham County,180
03301,Concord,NH,Merrimack County,26910
03303,Concord,NH,Merrimack County,14030
03304,Bow,NH,Merrimack County,8250
03307,Loudon,NH,Merrimack County,5460
03431,Keene,NH,Cheshire County,19700
03440,Antrim,NH,Hillsborough County,2570
03441,Ashuelot,NH,Cheshire County,340
03442,Bennington,NH,Hillsborough County,1370
03443,Chesterfield,NH,Cheshire County,730
03444,Dublin,NH,Cheshire County,1550
03445,Sullivan,NH,Cheshire County,680
03446,Swanzey,NH,Cheshire County,5590
03447,Fitzwilliam,NH,Cheshire County,2220
